strategy,scenario,trial,throughput_mean,recovery_latency_ms,duplicate_records,duplicate_rate_pct,records_processed,final_checkpoint_interval_s
Strategy C (10s WAL),baseline,9,49592.5,0,0,0.0,4463320,10
Strategy C (10s WAL),baseline,10,50132.4,0,0,0.0,4511909,10
Strategy C (10s WAL),baseline,11,50418.9,0,0,0.0,4537693,10
Strategy C (10s WAL),baseline,12,50007.9,0,0,0.0,4500706,10
Strategy C (10s WAL),baseline,13,49844.1,0,0,0.0,4485960,10
Strategy C (10s WAL),baseline,14,50300.5,0,0,0.0,4527040,10
Strategy C (10s WAL),baseline,15,49736.7,0,0,0.0,4476297,10
Strategy C (10s WAL),baseline,16,50291.5,0,0,0.0,4526225,10
Strategy C (10s WAL),baseline,17,50309.0,0,0,0.0,4527796,10
Strategy C (10s WAL),baseline,18,50093.2,0,0,0.0,4508383,10
Strategy C (10s WAL),baseline,19,50048.9,0,0,0.0,4504392,10
Strategy C (10s WAL),baseline,20,49429.3,0,0,0.0,4448626,10
Strategy C (10s WAL),baseline,21,49981.6,0,0,0.0,4498331,10
Strategy C (10s WAL),baseline,22,49868.7,0,0,0.0,4488181,10
Strategy C (10s WAL),baseline,23,49918.2,0,0,0.0,4492629,10
Strategy C (10s WAL),baseline,24,50213.3,0,0,0.0,4519193,10
Strategy C (10s WAL),baseline,25,49506.2,0,0,0.0,4455553,10
Strategy C (10s WAL),baseline,26,50015.8,0,0,0.0,4501409,10
Strategy C (10s WAL),baseline,27,50390.0,0,0,0.0,4535097,10
Strategy C (10s WAL),baseline,28,50032.0,0,0,0.0,4502873,10
Strategy C (10s WAL),baseline,29,50249.7,0,0,0.0,4522461,10
Strategy C (10s WAL),baseline,30,49245.1,0,0,0.0,4432046,10
Adaptive (proposed),baseline,1,49943.7,0,0,0.0,4494922,20.74
Adaptive (proposed),baseline,2,49366.5,0,0,0.0,4442975,20.74
Adaptive (proposed),baseline,3,50441.0,0,0,0.0,4539682,20.74
Adaptive (proposed),baseline,4,50021.4,0,0,0.0,4501914,20.74
Adaptive (proposed),baseline,5,49986.7,0,0,0.0,4498796,20.74
Adaptive (proposed),baseline,6,49789.5,0,0,0.0,4481049,20.74
Adaptive (proposed),baseline,7,50534.6,0,0,0.0,4548105,20.74
Adaptive (proposed),baseline,8,49858.2,0,0,0.0,4487227,20.74
Adaptive (proposed),baseline,9,50387.7,0,0,0.0,4534892,20.74
Adaptive (proposed),baseline,10,49686.7,0,0,0.0,4471798,20.74
Adaptive (proposed),baseline,11,50575.9,0,0,0.0,4551822,20.74
Adaptive (proposed),baseline,12,49258.7,0,0,0.0,4433276,20.74
Adaptive (proposed),baseline,13,50209.2,0,0,0.0,4518819,20.74
Adaptive (proposed),baseline,14,49813.9,0,0,0.0,4483246,20.74
Adaptive (proposed),baseline,15,49745.9,0,0,0.0,4477123,20.74
Adaptive (proposed),baseline,16,50672.1,0,0,0.0,4560476,20.74
Adaptive (proposed),baseline,17,49601.2,0,0,0.0,4464098,20.74
Adaptive (proposed),baseline,18,50381.3,0,0,0.0,4534309,20.74
Adaptive (proposed),baseline,19,50036.9,0,0,0.0,4503309,20.74
Adaptive (proposed),baseline,20,49633.8,0,0,0.0,4467037,20.74
Adaptive (proposed),baseline,21,49848.4,0,0,0.0,4486349,20.74
Adaptive (proposed),baseline,22,49887.5,0,0,0.0,4489869,20.74
Adaptive (proposed),baseline,23,49807.8,0,0,0.0,4482696,20.74
Adaptive (proposed),baseline,24,50452.1,0,0,0.0,4540675,20.74
Adaptive (proposed),baseline,25,50194.3,0,0,0.0,4517479,20.74
Adaptive (proposed),baseline,26,50013.9,0,0,0.0,4501247,20.74
Adaptive (proposed),baseline,27,50324.6,0,0,0.0,4529211,20.74
Adaptive (proposed),baseline,28,49789.0,0,0,0.0,4481000,20.74
Adaptive (proposed),baseline,29,49978.9,0,0,0.0,4498094,20.74
Adaptive (proposed),baseline,30,50045.4,0,0,0.0,4504080,20.74
Strategy A (1s),node_failure,1,48362.5,5362.9,6299,0.1532,4110805,1
Strategy A (1s),node_failure,2,48448.5,5304.3,9589,0.2328,4118116,1
Strategy A (1s),node_failure,3,47278.2,4695.4,9227,0.2168,4255032,1
Strategy A (1s),node_failure,4,48347.0,5497.0,8384,0.204,4109482,1
Strategy A (1s),node_failure,5,48388.5,5300.8,8336,0.2027,4113009,1
Strategy A (1s),node_failure,6,47554.0,4619.9,5911,0.1381,4279849,1
Strategy A (1s),node_failure,7,48161.0,4962.0,8796,0.2029,4334479,1
Strategy A (1s),node_failure,8,49944.4,5329.4,6688,0.1575,4245267,1
Strategy A (1s),node_failure,9,48485.0,5050.7,5480,0.133,4121221,1
Strategy A (1s),node_failure,10,47286.6,4679.8,6631,0.1558,4255790,1
Strategy A (1s),node_failure,11,48319.2,5297.4,6791,0.1653,4107120,1
Strategy A (1s),node_failure,12,49337.0,4590.3,6246,0.1407,4440319,1
Strategy A (1s),node_failure,13,49801.1,5441.9,6973,0.1647,4233087,1
Strategy A (1s),node_failure,14,47339.6,4806.8,8281,0.1944,4260554,1
Strategy A (1s),node_failure,15,48554.9,4667.9,9160,0.2096,4369928,1
Strategy A (1s),node_failure,16,48193.2,4601.4,7348,0.1694,4337383,1
Strategy A (1s),node_failure,17,47809.6,4982.7,5346,0.1242,4302852,1
Strategy A (1s),node_failure,18,48095.6,4927.6,6522,0.1507,4328597,1
Strategy A (1s),node_failure,19,49165.5,4763.3,7284,0.1646,4424888,1
Strategy A (1s),node_failure,20,46778.7,4976.3,5560,0.1321,4210074,1
Strategy A (1s),node_failure,21,47580.9,5127.2,8931,0.2208,4044372,1
Strategy A (1s),node_failure,22,46987.2,5439.6,9336,0.2338,3993906,1
Strategy A (1s),node_failure,23,47699.9,4831.5,6268,0.146,4292983,1
Strategy A (1s),node_failure,24,47424.1,4687.9,6151,0.1441,4268161,1
Strategy A (1s),node_failure,25,48732.2,5418.0,8353,0.2017,4142232,1
Strategy A (1s),node_failure,26,48967.9,4662.9,7762,0.1761,4407102,1
Strategy A (1s),node_failure,27,47862.2,5142.7,7099,0.1745,4068278,1
Strategy A (1s),node_failure,28,47775.7,4563.8,9620,0.2237,4299799,1
Strategy A (1s),node_failure,29,46734.1,4918.6,6941,0.165,4206061,1
Strategy A (1s),node_failure,30,48886.0,5308.3,8613,0.2073,4155299,1
Strategy B (30s),node_failure,1,48781.6,30002.9,196842,6.7253,2926891,30
Strategy B (30s),node_failure,2,47989.7,31673.6,160078,5.5595,2879378,30
Strategy B (30s),node_failure,3,49674.4,30800.9,151931,5.0976,2980455,30
Strategy B (30s),node_failure,4,48817.9,31161.1,146218,4.992,2929069,30
Strategy B (30s),node_failure,5,48222.3,29056.4,200121,6.3846,3134441,30
Strategy B (30s),node_failure,6,48086.0,30903.2,116511,4.0383,2885154,30
Strategy B (30s),node_failure,7,46902.6,29846.4,127713,4.1892,3048660,30
Strategy B (30s),node_failure,8,48759.9,28191.9,132225,4.1719,3169391,30
Strategy B (30s),node_failure,9,48481.6,32441.3,193719,6.6596,2908888,30
Strategy B (30s),node_failure,10,50023.1,28048.2,116712,3.5895,3251497,30
Strategy B (30s),node_failure,11,47655.1,27557.7,191758,6.1906,3097575,30
Strategy B (30s),node_failure,12,47467.7,32654.8,128320,4.5055,2848058,30
Strategy B (30s),node_failure,13,47064.1,32522.4,123824,4.3849,2823842,30
Strategy B (30s),node_failure,14,46725.0,30138.6,180689,6.4451,2803492,30
Strategy B (30s),node_failure,15,47596.4,32093.1,195329,6.8398,2855778,30
Strategy B (30s),node_failure,16,47967.5,29688.6,195786,6.2794,3117885,30
Strategy B (30s),node_failure,17,47990.8,31028.8,204859,7.1145,2879440,30
Strategy B (30s),node_failure,18,47099.1,29048.1,193202,6.3108,3061438,30
Strategy B (30s),node_failure,19,47475.0,32581.3,150915,5.2981,2848497,30
Strategy B (30s),node_failure,20,46732.0,27807.8,161166,5.3057,3037575,30
Strategy B (30s),node_failure,21,47938.0,30024.7,150119,5.2192,2876276,30
Strategy B (30s),node_failure,22,46049.0,31209.0,196184,7.1006,2762931,30
Strategy B (30s),node_failure,23,48462.0,31165.9,144092,4.9555,2907716,30
Strategy B (30s),node_failure,24,47186.2,27151.6,126958,4.1394,3067098,30
Strategy B (30s),node_failure,25,48399.5,27614.9,196894,6.2586,3145958,30
Strategy B (30s),node_failure,26,47234.9,30312.7,114150,4.0277,2834091,30
Strategy B (30s),node_failure,27,46396.8,32785.7,141362,5.078,2783801,30
Strategy B (30s),node_failure,28,49493.2,31258.1,127876,4.3062,2969586,30
Strategy B (30s),node_failure,29,47358.7,28103.2,119493,3.8818,3078308,30
Strategy B (30s),node_failure,30,47024.5,31942.1,207838,7.3663,2821466,30
Strategy C (10s WAL),node_failure,1,48138.5,10080.5,7514,0.1951,3851074,10
Strategy C (10s WAL),node_failure,2,48150.4,10547.2,10531,0.2734,3852020,10
Strategy C (10s WAL),node_failure,3,47110.5,10149.9,7228,0.1918,3768829,10
Strategy C (10s WAL),node_failure,4,48469.0,9602.7,6496,0.1577,4119862,10
Strategy C (10s WAL),node_failure,5,46253.6,10107.0,8925,0.2412,3700282,10
Strategy C (10s WAL),node_failure,6,48559.1,9362.7,10193,0.247,4127515,10
Strategy C (10s WAL),node_failure,7,48686.6,10800.2,7695,0.1976,3894920,10
Strategy C (10s WAL),node_failure,8,47737.1,10755.8,8447,0.2212,3818963,10
Strategy C (10s WAL),node_failure,9,47510.2,10163.8,8148,0.2144,3800813,10
Strategy C (10s WAL),node_failure,10,48131.2,10325.4,10443,0.2712,3850487,10
Strategy C (10s WAL),node_failure,11,48751.0,9085.6,7119,0.1718,4143826,10
Strategy C (10s WAL),node_failure,12,46471.2,10033.3,7998,0.2151,3717685,10
Strategy C (10s WAL),node_failure,13,48767.2,9236.7,7242,0.1747,4145205,10
Strategy C (10s WAL),node_failure,14,49581.0,9360.1,11015,0.2614,4214383,10
Strategy C (10s WAL),node_failure,15,47623.2,10448.4,7824,0.2054,3809852,10
Strategy C (10s WAL),node_failure,16,48167.2,9235.0,8547,0.2088,4094202,10
Strategy C (10s WAL),node_failure,17,48244.7,10523.1,9659,0.2503,3859568,10
Strategy C (10s WAL),node_failure,18,48230.9,9631.8,7926,0.1933,4099621,10
Strategy C (10s WAL),node_failure,19,47174.6,10471.6,10480,0.2777,3773963,10
Strategy C (10s WAL),node_failure,20,47709.7,10851.7,8304,0.2176,3816772,10
Strategy C (10s WAL),node_failure,21,48700.9,10607.8,7530,0.1933,3896066,10
Strategy C (10s WAL),node_failure,22,48433.2,9137.2,6515,0.1583,4116810,10
Strategy C (10s WAL),node_failure,23,48315.3,10605.9,11007,0.2848,3865214,10
Strategy C (10s WAL),node_failure,24,48706.8,10988.4,9557,0.2453,3896532,10
Strategy C (10s WAL),node_failure,25,49093.2,10894.2,9589,0.2442,3927449,10
Strategy C (10s WAL),node_failure,26,46415.9,10082.9,6267,0.1688,3713265,10
Strategy C (10s WAL),node_failure,27,48363.2,10005.0,8089,0.2091,3869045,10
Strategy C (10s WAL),node_failure,28,48326.6,9731.8,8633,0.2102,4107753,10
Strategy C (10s WAL),node_failure,29,48782.8,9353.2,8637,0.2083,4146530,10
Strategy C (10s WAL),node_failure,30,48485.2,9721.9,8952,0.2172,4121231,10
Adaptive (proposed),node_failure,1,47337.4,5071.6,410,0.0102,4023666,2.4
Adaptive (proposed),node_failure,2,48879.1,5385.5,332,0.008,4154711,2.42
Adaptive (proposed),node_failure,3,47775.3,4969.2,289,0.0067,4299765,2.42
Adaptive (proposed),node_failure,4,48601.8,4549.6,365,0.0083,4374154,2
Adaptive (proposed),node_failure,5,48718.0,4972.8,386,0.0088,4384611,4.15
Adaptive (proposed),node_failure,6,47627.6,4625.8,321,0.0075,4286474,2
Adaptive (proposed),node_failure,7,48593.6,5158.3,365,0.0088,4130451,2.42
Adaptive (proposed),node_failure,8,49598.8,5438.2,347,0.0082,4215888,2.4
Adaptive (proposed),node_failure,9,49034.0,4824.7,341,0.0077,4413051,2
Adaptive (proposed),node_failure,10,47091.5,4591.9,345,0.0081,4238228,2
Adaptive (proposed),node_failure,11,50231.7,4945.6,373,0.0083,4520840,4.94
Adaptive (proposed),node_failure,12,49173.6,4942.2,308,0.007,4425618,3.46
Adaptive (proposed),node_failure,13,48003.2,4508.3,343,0.0079,4320276,8.47
Adaptive (proposed),node_failure,14,47950.7,5054.9,328,0.008,4075797,2
Adaptive (proposed),node_failure,15,47847.2,4817.6,414,0.0096,4306236,2
Adaptive (proposed),node_failure,16,46950.1,5242.4,430,0.0108,3990750,2
Adaptive (proposed),node_failure,17,47220.8,5327.6,354,0.0088,4013758,3.46
Adaptive (proposed),node_failure,18,47234.2,5449.8,342,0.0085,4014901,3.46
Adaptive (proposed),node_failure,19,48010.7,4548.9,309,0.0072,4320954,2
Adaptive (proposed),node_failure,20,46104.7,5129.0,430,0.011,3918887,2.4
Adaptive (proposed),node_failure,21,47741.9,5290.2,332,0.0082,4058051,2.02
Adaptive (proposed),node_failure,22,48725.6,4531.2,429,0.0098,4385293,2
Adaptive (proposed),node_failure,23,48598.6,5224.6,354,0.0086,4130872,3.46
Adaptive (proposed),node_failure,24,47895.1,4571.2,376,0.0087,4310552,2
Adaptive (proposed),node_failure,25,46508.0,5199.6,383,0.0097,3953173,3.46
Adaptive (proposed),node_failure,26,47837.5,5074.2,358,0.0088,4066178,2
Adaptive (proposed),node_failure,27,47886.7,4844.3,300,0.007,4309792,2
Adaptive (proposed),node_failure,28,46520.6,4584.7,380,0.0091,4186842,2
Adaptive (proposed),node_failure,29,46929.9,5460.4,299,0.0075,3989030,2
Adaptive (proposed),node_failure,30,48334.8,4611.5,313,0.0072,4350119,2
Strategy A (1s),driver_failure,1,44666.0,4801.4,8183,0.2036,4019929,1
Strategy A (1s),driver_failure,2,46302.8,5418.0,8663,0.2201,3935726,1
Strategy A (1s),driver_failure,3,46496.2,4603.9,6898,0.1648,4184653,1
Strategy A (1s),driver_failure,4,44276.6,5396.0,7967,0.2117,3763506,1
Strategy A (1s),driver_failure,5,47711.3,5455.6,6123,0.151,4055452,1
Strategy A (1s),driver_failure,6,45064.4,4648.9,7730,0.1906,4055792,1
Strategy A (1s),driver_failure,7,45956.2,5067.2,8991,0.2302,3906264,1
Strategy A (1s),driver_failure,8,46286.8,5195.9,8826,0.2243,3934372,1
Strategy A (1s),driver_failure,9,45125.5,4556.1,8361,0.2059,4061283,1
Strategy A (1s),driver_failure,10,45026.3,4672.2,5204,0.1284,4052355,1
Strategy A (1s),driver_failure,11,44587.1,4637.3,8569,0.2135,4012832,1
Strategy A (1s),driver_failure,12,45799.1,4506.3,5758,0.1397,4121912,1
Strategy A (1s),driver_failure,13,47856.7,5282.6,6479,0.1593,4067807,1
Strategy A (1s),driver_failure,14,45354.1,4974.4,5745,0.1407,4081860,1
Strategy A (1s),driver_failure,15,46412.7,4826.0,5841,0.1398,4177136,1
Strategy A (1s),driver_failure,16,47180.2,5132.0,9164,0.2285,4010312,1
Strategy A (1s),driver_failure,17,45518.7,5357.0,7083,0.1831,3869081,1
Strategy A (1s),driver_failure,18,46621.8,4970.7,8279,0.1973,4195957,1
Strategy A (1s),driver_failure,19,46886.2,5357.9,8187,0.2054,3985318,1
Strategy A (1s),driver_failure,20,47063.1,5294.5,8360,0.209,4000351,1
Strategy A (1s),driver_failure,21,46098.1,5481.3,6011,0.1534,3918330,1
Strategy A (1s),driver_failure,22,47040.4,5178.3,7270,0.1818,3998429,1
Strategy A (1s),driver_failure,23,46764.6,4996.3,8734,0.2075,4208808,1
Strategy A (1s),driver_failure,24,45623.3,4826.3,7529,0.1834,4106089,1
Strategy A (1s),driver_failure,25,48061.8,5473.2,8581,0.21,4085240,1
Strategy A (1s),driver_failure,26,46341.0,4904.6,7127,0.1709,4170680,1
Strategy A (1s),driver_failure,27,44983.6,5231.6,8841,0.2312,3823596,1
Strategy A (1s),driver_failure,28,46686.4,5171.6,5364,0.1352,3968332,1
Strategy A (1s),driver_failure,29,47294.3,5492.6,8429,0.2097,4020006,1
Strategy A (1s),driver_failure,30,46016.7,4909.5,8902,0.2149,4141491,1
Strategy B (30s),driver_failure,1,45522.4,26671.2,126677,4.2811,2958950,30
Strategy B (30s),driver_failure,2,44061.1,25640.0,126948,4.4326,2863966,30
Strategy B (30s),driver_failure,3,45138.6,24597.6,160647,5.0843,3159694,30
Strategy B (30s),driver_failure,4,45022.8,25927.2,143355,4.8986,2926475,30
Strategy B (30s),driver_failure,5,47375.5,25567.1,154411,5.0143,3079401,30
Strategy B (30s),driver_failure,6,47680.0,26585.2,158918,5.1277,3099192,30
Strategy B (30s),driver_failure,7,47018.1,26420.1,96167,3.1466,3056174,30
Strategy B (30s),driver_failure,8,48394.3,26411.9,161265,5.1267,3145620,30
Strategy B (30s),driver_failure,9,46843.6,22995.5,134838,4.1121,3279045,30
Strategy B (30s),driver_failure,10,47622.1,27288.7,104135,3.3642,3095432,30
Strategy B (30s),driver_failure,11,46479.4,22703.0,115516,3.5505,3253553,30
Strategy B (30s),driver_failure,12,46650.0,23396.5,167341,5.1245,3265492,30
Strategy B (30s),driver_failure,13,47580.4,25474.8,166718,5.3907,3092720,30
Strategy B (30s),driver_failure,14,45268.8,23894.5,149511,4.7182,3168807,30
Strategy B (30s),driver_failure,15,44341.5,22981.7,96073,3.0952,3103898,30
Strategy B (30s),driver_failure,16,45598.6,24418.1,114469,3.5862,3191895,30
Strategy B (30s),driver_failure,17,43645.4,25926.9,134380,4.7368,2836943,30
Strategy B (30s),driver_failure,18,46688.5,26684.7,117121,3.8593,3034748,30
Strategy B (30s),driver_failure,19,44308.6,24024.6,116249,3.748,3101598,30
Strategy B (30s),driver_failure,20,42840.6,23000.3,142332,4.7462,2998836,30
Strategy B (30s),driver_failure,21,48641.1,27481.1,121228,3.8343,3161669,30
Strategy B (30s),driver_failure,22,45733.3,24009.2,152302,4.7575,3201325,30
Strategy B (30s),driver_failure,23,45611.0,26211.0,126272,4.2592,2964710,30
Strategy B (30s),driver_failure,24,46223.8,24093.3,154318,4.7693,3235655,30
Strategy B (30s),driver_failure,25,47931.9,24680.7,140154,4.1772,3355225,30
Strategy B (30s),driver_failure,26,48043.4,26835.9,159756,5.1158,3122815,30
Strategy B (30s),driver_failure,27,44627.7,27248.4,162150,5.5899,2900793,30
Strategy B (30s),driver_failure,28,45329.9,24697.4,109812,3.4607,3173088,30
Strategy B (30s),driver_failure,29,45710.5,27334.0,136977,4.6102,2971175,30
Strategy B (30s),driver_failure,30,45806.9,26834.8,156438,5.2541,2977445,30
Strategy C (10s WAL),driver_failure,1,45492.4,4906.3,2982,0.0728,4094307,10
Strategy C (10s WAL),driver_failure,2,44384.6,4552.1,4491,0.1124,3994604,10
Strategy C (10s WAL),driver_failure,3,47533.5,4760.7,4605,0.1076,4278006,10
Strategy C (10s WAL),driver_failure,4,45879.7,4901.0,3963,0.096,4129163,10
Strategy C (10s WAL),driver_failure,5,45147.2,5356.3,4388,0.1143,3837505,10
Strategy C (10s WAL),driver_failure,6,46804.4,5193.0,4604,0.1157,3978368,10
Strategy C (10s WAL),driver_failure,7,44985.5,4894.7,3819,0.0943,4048682,10
Strategy C (10s WAL),driver_failure,8,45640.7,4782.9,5076,0.1236,4107657,10
Strategy C (10s WAL),driver_failure,9,46525.8,4936.4,5370,0.1282,4187315,10
Strategy C (10s WAL),driver_failure,10,45427.3,5471.6,4204,0.1089,3861310,10
Strategy C (10s WAL),driver_failure,11,45514.3,5159.5,4025,0.104,3868707,10
Strategy C (10s WAL),driver_failure,12,48249.7,4881.4,3888,0.0895,4342469,10
Strategy C (10s WAL),driver_failure,13,45379.2,5332.1,4171,0.1081,3857224,10
Strategy C (10s WAL),driver_failure,14,45862.8,4995.3,4461,0.1081,4127642,10
Strategy C (10s WAL),driver_failure,15,48261.5,5068.5,3527,0.086,4102214,10
Strategy C (10s WAL),driver_failure,16,45258.6,4687.2,3357,0.0824,4073266,10
Strategy C (10s WAL),driver_failure,17,44558.6,5190.3,3879,0.1024,3787469,10
Strategy C (10s WAL),driver_failure,18,43889.8,4974.0,2952,0.0747,3950071,10
Strategy C (10s WAL),driver_failure,19,43401.5,5054.3,3620,0.0981,3689121,10
Strategy C (10s WAL),driver_failure,20,47040.5,5197.5,2949,0.0738,3998430,10
Strategy C (10s WAL),driver_failure,21,43721.8,5234.6,4875,0.1312,3716344,10
Strategy C (10s WAL),driver_failure,22,47432.0,4658.6,4954,0.116,4268876,10
Strategy C (10s WAL),driver_failure,23,44245.5,5426.6,3985,0.106,3760858,10
Strategy C (10s WAL),driver_failure,24,46893.9,5005.9,4717,0.1183,3985969,10
Strategy C (10s WAL),driver_failure,25,46508.1,5253.5,3945,0.0998,3953179,10
Strategy C (10s WAL),driver_failure,26,44717.2,4664.3,3050,0.0758,4024539,10
Strategy C (10s WAL),driver_failure,27,44536.0,5027.8,5184,0.1369,3785552,10
Strategy C (10s WAL),driver_failure,28,46452.9,4783.9,3128,0.0748,4180755,10
Strategy C (10s WAL),driver_failure,29,46607.9,4624.7,3638,0.0867,4194704,10
Strategy C (10s WAL),driver_failure,30,45804.8,4827.8,4344,0.1054,4122420,10
Adaptive (proposed),driver_failure,1,46130.6,13933.0,2641,0.0716,3690439,2
Adaptive (proposed),driver_failure,2,45239.7,5370.4,333,0.0087,3845365,2
Adaptive (proposed),driver_failure,3,46148.0,15356.1,3200,0.0925,3461091,2
Adaptive (proposed),driver_failure,4,45456.9,14420.4,2989,0.0822,3636544,2
Adaptive (proposed),driver_failure,5,46713.9,14413.8,2989,0.08,3737103,2
Adaptive (proposed),driver_failure,6,45005.9,13919.0,3175,0.0882,3600462,2
Adaptive (proposed),driver_failure,7,45045.7,15514.8,3318,0.0982,3378418,2
Adaptive (proposed),driver_failure,8,43456.7,14688.3,3564,0.1025,3476532,2
Adaptive (proposed),driver_failure,9,44830.8,4966.6,325,0.0081,4034761,2
Adaptive (proposed),driver_failure,10,46764.7,15376.0,3203,0.0913,3507345,2
Adaptive (proposed),driver_failure,11,46483.3,14077.4,2611,0.0702,3718656,2
Adaptive (proposed),driver_failure,12,45633.4,14086.2,2732,0.0748,3650666,2
Adaptive (proposed),driver_failure,13,45756.2,13845.6,2844,0.0777,3660491,2
Adaptive (proposed),driver_failure,14,45619.8,5424.2,385,0.0099,3877673,2
Adaptive (proposed),driver_failure,15,45584.0,14984.4,2817,0.0772,3646711,2
Adaptive (proposed),driver_failure,16,45420.0,16027.8,3120,0.0916,3406496,2
Adaptive (proposed),driver_failure,17,46338.5,4897.5,307,0.0074,4170456,2
Adaptive (proposed),driver_failure,18,48485.1,5103.0,359,0.0087,4121225,2
Adaptive (proposed),driver_failure,19,46128.0,16365.3,3559,0.1029,3459596,2
Adaptive (proposed),driver_failure,20,43677.3,14247.4,3601,0.1031,3494175,2
Adaptive (proposed),driver_failure,21,46945.5,15737.9,3546,0.1007,3520902,2
Adaptive (proposed),driver_failure,22,45582.0,5196.7,391,0.0101,3874461,2
